i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
409,VITERRA Y ASOCIADOS S.A. DE C.V.,CARRIL A SANTA FE S/N KM 1,CD. GONZALEZ,CD. GONZALEZ,89700,TAMAULIPAS,09NV280120007,15/Jun/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",MEZCLA DE FERTILIZANTES SOLIDOS
410,WATER SCIENCE LATINAMERICA S. A. DE C. V.,KM 8.5 CARR. TAP-PUERTO MADERO,BODEGAS LA CHINITA,TAPACHULA,30700,CHIAPAS,07P070890002,02/May/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE BACTERICIDAS-FUNGICIDAS LIQUIDOS
411,WESTFIX S.A. DE C.V.,AV. LAZARO CARDENAS No. 2315,VALLE DEL ALAMO,GUADALAJARA,44440,JALISCO,14NV1403908,03/Jul/2014,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES QUIMICOS GRANULADOS.
412,WILLARS CHEMICAL S.A. DE C.V.,AV. UNIVERSIDAD PTE No. 294 LOCAL 4 Y 5,CENTRO,QUERETARO,76000,QUERETARO,05FP220140001,03/Aug/2005,FORMULACION DE PLAGUICIDAS,PLAGUICIDAS SOLIDOS
413,WILLARS CHEMICAL S.A. DE C.V.,AVENIDA 5 DE FEBRERO No. 1309 BODEGA 3D,FELIPE CARRILLO PUERTO,QUERETARO,76138,QUERETARO,12FP220140010,05/Dec/2012,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO FERTILIZANTES)",ENVASADO DE RODENTICIDAS SAIDOS.
414,YARA MEXICO S. DE R. L. DE C.V.,"CARRETERA FEDERAL PASO DEL TORO SAN JULIAN
S/N",EJIDO SANTA FE,VERACRUZ,91690,VERACRUZ,14NV3019305,10/Mar/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS Y FORMULACION DE FERTILIZANTES QUAMICOS SOLIDOS.
415,YARA MEXICO S. DE R.L. DE C.V.,CARR. URUAPAN-APATZINGAN S/N,COL. ZUMPIMITO,URUAPAN,60190,MICHOACAN,10NV161020008,02/Mar/2010,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLA Y ENVASADO DE FERTILIZANTES SOLIDOS
416,YARA MEXICO S. DE R.L. DE C.V.,"COLORINES LOTES 46, 47, 48, 49 Y 50",PARQUE INDUSTRIAL BRUNO PAGLIAI,VERACRUZ,91697,VERACRUZ,12NV301930026,09/Apr/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLA Y ENVASADO DE FERTILIZANTES SALIDOS.
417,YARA MEXICO S. DE R.L. DE C.V.,"CARRETERA LOS MOCHIS TOPOLOBAMPO KM 15.2 S/N, NAVE 5",EJIDO FRANCISCO VILLA,AHOME,81290,SINALOA,13PNV2500115,17/Jun/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
418,YARA MEXICO S. DE R.L. DE C.V.,LIBRAMIENTO EL COLOMO Km. 2.5,EL COLOMO,MANZANILLO,28800,COLIMA,14NV0600724,31/Oct/2014,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS Y ENVASADO DE FERTILIZANTES QUIMICOS GRANULADOS
419,YEMAZA DEL POTOSA S.A. DE C.V.,EJE 102 No. 3100 F,ZONA INDUSTRIAL SAN LUIS POTOSI,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,15NV24028023,23/Nov/2015,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES ORGANOMINERALES Y MEJORADORES DE SUELO SALIDOS
420,YESERA MONTERREY S.A.,AV. C.F.E. No. 775,ZONA INDUSTRIAL SLP,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,10NV240280004,28/Jul/2010,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE MEJORADORES DE SUELO SOLIDOS
421,YESO AGRICOLA DEL MAR DE CORTES S.A. DE C.V.,CARETERA TRANSPENINSULAR AL NORTE Km. 12.5,SANTA ROSALIA,MULEGE,23920,BAJA CALIFORNIA SUR,11NV030020001,30/Aug/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y MEJORADORES DE SUELO SOLIDOS.
422,ZIMMER CONSTRUCTORES S.A. DE C.V.,CERRITO COLORADO S/N,SORIA,COMONFORT,38210,GUANAJUATO,05FP110090013,07/May/2010,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) Y FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE  INSECTICIDAS SOLIDOS Y LIQUIDOS, HERBICIDAS LIQUIDOS Y FERTILIZANTES SOLIDOS Y LIQUIDOS"
423,ZINC NACIONAL S.A. DE C.V.,PEDRO GALINDO No. 101,LOMAS DEL ROBLE,SAN NICOLAS DE LOS GARZA,66450,NUEVO LEON,15NV1904607,24/Feb/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACIAN DE FERTILIZANTES QUAMICOS SALIDOS.
424,ZOBELE S.A. DE C.V.,CARRETERA HERMOSILLO SAHUARIPA KM. 4.5,PARQUE INDUSTRIAL HERMOSILLO,HERMOSILLO,83299,SONORA,09P260300003,13/Jun/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS LIQUIDOS PARA LA FABRICACION DE MALLAS IMPREGNADAS
425,PRODUCTORA NACIONAL DE BIOLOGICOS VETERINARIOS,IGNACIO ZARAGOZA 75,LOMAS ALTAS,MIGUEL HIDALGO,11950,CIUDAD DE MEXICO,16P0901623,14/Sep/2016,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE PLAGUICIDA EN PASTA PARA EL CONTROL DE MURCIELAGOS HEMATAFAGOS
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
